user_id,date,hour,chronotype,circadian_phase,hourly_energy,hourly_productivity,focus_score,cognitive_capacity,recommended_task_type
U0002,2026-06-29,5,Intermediate,Morning,2.46,11.06,9.9,15.2,Recovery Break
U0002,2026-06-29,6,Intermediate,Morning,4.96,29.51,30.04,27.68,Recovery Break
U0002,2026-06-29,7,Intermediate,Morning,5.37,32.49,33.32,29.72,Planning
U0002,2026-06-29,8,Intermediate,Morning,5.77,35.48,36.57,31.73,Planning
U0002,2026-06-29,9,Intermediate,Morning,6.18,38.46,39.85,33.76,Planning
U0002,2026-06-29,10,Intermediate,Morning,6.58,41.44,43.08,35.77,Admin Tasks
U0002,2026-06-29,11,Intermediate,Midday,6.99,44.42,46.36,37.8,Admin Tasks
U0002,2026-06-29,12,Intermediate,Midday,7.39,47.41,49.61,39.82,Admin Tasks
U0002,2026-06-29,13,Intermediate,Midday,5.99,37.06,38.32,32.82,Recovery Break
U0002,2026-06-29,14,Intermediate,Midday,5.65,34.56,35.58,31.12,Recovery Break
U0002,2026-06-29,15,Intermediate,Afternoon,5.31,32.05,32.84,29.42,Recovery Break
U0002,2026-06-29,16,Intermediate,Afternoon,5.77,35.48,36.57,31.73,Planning
U0002,2026-06-29,17,Intermediate,Afternoon,5.37,32.49,33.32,29.72,Planning
U0002,2026-06-29,18,Intermediate,Afternoon,4.96,29.51,30.04,27.68,Planning
U0002,2026-06-29,19,Intermediate,Evening,4.56,26.53,26.8,25.67,Recovery Break
U0002,2026-06-29,20,Intermediate,Evening,4.15,23.55,23.52,23.64,Recovery Break
U0002,2026-06-29,21,Intermediate,Evening,2.85,13.92,13.03,17.14,Recovery Break
U0002,2026-06-29,22,Intermediate,Evening,2.56,11.83,10.72,15.7,Recovery Break
U0002,2026-06-29,23,Intermediate,Evening,2.28,9.74,8.45,14.3,Recovery Break
U0003,2026-06-29,0,Evening,Night,1.61,0.0,0.0,4.61,Recovery Break
U0003,2026-06-29,1,Evening,Night,1.47,0.0,0.0,4.61,Recovery Break
U0003,2026-06-29,2,Evening,Night,1.34,0.0,0.0,4.61,Recovery Break
U0003,2026-06-29,3,Evening,Night,1.2,0.0,0.0,4.61,Recovery Break
U0003,2026-06-29,4,Evening,Night,1.06,0.0,0.0,4.61,Recovery Break
U0003,2026-06-29,5,Evening,Morning,0.92,0.0,0.0,4.61,Recovery Break
U0003,2026-06-29,6,Evening,Morning,1.53,0.0,0.0,4.61,Recovery Break
U0003,2026-06-29,7,Evening,Morning,1.84,0.97,0.0,4.61,Planning
U0003,2026-06-29,8,Evening,Morning,2.14,2.48,2.0,5.85,Planning
U0003,2026-06-29,9,Evening,Morning,2.45,4.0,4.08,7.14,Planning
U0003,2026-06-29,10,Evening,Morning,2.75,5.52,6.11,8.4,Planning
U0003,2026-06-29,11,Evening,Midday,3.06,7.03,8.18,9.68,Recovery Break
U0003,2026-06-29,12,Evening,Midday,3.36,8.55,10.22,10.95,Recovery Break
U0003,2026-06-29,13,Evening,Midday,3.11,7.29,8.53,9.9,Recovery Break
U0003,2026-06-29,14,Evening,Midday,3.37,8.57,10.27,10.98,Recovery Break
U0003,2026-06-29,15,Evening,Afternoon,3.62,9.84,11.97,12.03,Recovery Break
U0003,2026-06-29,16,Evening,Afternoon,4.58,14.62,18.44,16.04,Planning
U0003,2026-06-29,17,Evening,Afternoon,4.89,16.13,20.51,17.33,Planning
U0003,2026-06-29,18,Evening,Afternoon,5.2,17.65,22.59,18.62,Planning
U0003,2026-06-29,19,Evening,Evening,4.89,16.13,20.51,17.33,Recovery Break
U0003,2026-06-29,20,Evening,Evening,4.58,14.62,18.44,16.04,Recovery Break
U0003,2026-06-29,21,Evening,Evening,3.05,6.99,8.12,9.65,Recovery Break
U0003,2026-06-29,22,Evening,Evening,2.83,5.93,6.66,8.74,Recovery Break
U0003,2026-06-29,23,Evening,Evening,2.62,4.87,5.24,7.86,Recovery Break
U0004,2026-06-29,0,Intermediate,Night,0.86,0.0,0.0,5.07,Recovery Break
U0004,2026-06-29,1,Intermediate,Night,1.0,0.0,0.0,5.07,Recovery Break
U0004,2026-06-29,2,Intermediate,Night,1.14,0.0,0.0,5.07,Recovery Break
U0004,2026-06-29,3,Intermediate,Night,1.28,0.0,0.0,5.07,Recovery Break
U0004,2026-06-29,4,Intermediate,Night,1.42,0.0,0.0,5.07,Recovery Break
U0004,2026-06-29,5,Intermediate,Morning,1.56,0.08,0.0,5.07,Recovery Break
U0004,2026-06-29,6,Intermediate,Morning,3.49,9.98,11.71,12.33,Recovery Break
U0004,2026-06-29,7,Intermediate,Morning,3.8,11.58,13.83,13.65,Planning
U0004,2026-06-29,8,Intermediate,Morning,4.11,13.18,15.95,14.96,Planning
U0004,2026-06-29,9,Intermediate,Morning,4.42,14.78,18.07,16.27,Planning
U0004,2026-06-29,10,Intermediate,Morning,4.73,16.38,20.19,17.59,Planning
U0004,2026-06-29,11,Intermediate,Midday,5.04,17.98,22.31,18.9,Recovery Break
U0004,2026-06-29,12,Intermediate,Midday,5.36,19.58,24.47,20.24,Recovery Break
U0004,2026-06-29,13,Intermediate,Midday,4.28,14.03,17.1,15.67,Recovery Break
U0004,2026-06-29,14,Intermediate,Midday,4.01,12.69,15.28,14.54,Recovery Break
U0004,2026-06-29,15,Intermediate,Afternoon,3.75,11.34,13.5,13.44,Recovery Break
U0004,2026-06-29,16,Intermediate,Afternoon,4.11,13.18,15.95,14.96,Planning
U0004,2026-06-29,17,Intermediate,Afternoon,3.8,11.58,13.83,13.65,Planning
U0004,2026-06-29,18,Intermediate,Afternoon,3.49,9.98,11.71,12.33,Planning
U0004,2026-06-29,19,Intermediate,Evening,3.18,8.38,9.59,11.02,Recovery Break
U0004,2026-06-29,20,Intermediate,Evening,2.86,6.78,7.43,9.68,Recovery Break
U0004,2026-06-29,21,Intermediate,Evening,1.86,1.61,0.59,5.44,Recovery Break
U0004,2026-06-29,22,Intermediate,Evening,1.64,0.49,0.0,5.07,Recovery Break
U0004,2026-06-29,23,Intermediate,Evening,1.42,0.0,0.0,5.07,Recovery Break
U0005,2026-06-29,0,Morning,Night,2.22,9.13,7.94,14.52,Recovery Break
U0005,2026-06-29,1,Morning,Night,2.4,10.5,9.41,15.44,Recovery Break
U0005,2026-06-29,2,Morning,Night,2.59,11.86,10.92,16.37,Recovery Break
U0005,2026-06-29,3,Morning,Night,2.78,13.23,12.43,17.31,Recovery Break
U0005,2026-06-29,4,Morning,Night,2.96,14.6,13.91,18.23,Recovery Break
U0005,2026-06-29,5,Morning,Morning,3.15,15.97,15.42,19.16,Recovery Break
U0005,2026-06-29,6,Morning,Morning,6.41,39.77,41.55,35.36,Admin Tasks
U0005,2026-06-29,7,Morning,Morning,6.83,42.81,44.9,37.44,Admin Tasks
U0005,2026-06-29,8,Morning,Morning,7.24,45.85,48.22,39.5,Admin Tasks
U0005,2026-06-29,9,Morning,Morning,7.66,48.89,51.57,41.58,Admin Tasks
U0005,2026-06-29,10,Morning,Morning,7.24,45.85,48.22,39.5,Admin Tasks
U0005,2026-06-29,11,Morning,Midday,6.83,42.81,44.9,37.44,Admin Tasks
U0005,2026-06-29,12,Morning,Midday,6.41,39.77,41.55,35.36,Admin Tasks
U0005,2026-06-29,13,Morning,Midday,5.17,30.69,31.6,29.19,Recovery Break
U0005,2026-06-29,14,Morning,Midday,4.82,28.14,28.8,27.46,Recovery Break
U0005,2026-06-29,15,Morning,Afternoon,4.47,25.59,25.99,25.72,Recovery Break
U0005,2026-06-29,16,Morning,Afternoon,4.75,27.62,28.23,27.1,Planning
U0005,2026-06-29,17,Morning,Afternoon,4.33,24.58,24.88,25.03,Planning
U0005,2026-06-29,18,Morning,Afternoon,3.91,21.54,21.52,22.94,Planning
U0005,2026-06-29,19,Morning,Evening,3.5,18.5,18.21,20.89,Recovery Break
U0005,2026-06-29,20,Morning,Evening,3.08,15.47,14.87,18.82,Recovery Break
U0005,2026-06-29,21,Morning,Evening,2.11,8.39,7.09,14.0,Recovery Break
U0005,2026-06-29,22,Morning,Evening,2.41,10.52,9.46,15.47,Recovery Break
U0005,2026-06-29,23,Morning,Evening,2.7,12.65,11.8,16.92,Recovery Break
U0006,2026-06-29,0,Evening,Night,3.21,18.9,17.67,22.26,Recovery Break
U0006,2026-06-29,1,Evening,Night,3.0,17.16,15.87,21.14,Recovery Break
U0006,2026-06-29,2,Evening,Night,2.8,15.42,14.11,20.05,Recovery Break
U0006,2026-06-29,3,Evening,Night,2.59,13.69,12.32,18.94,Recovery Break
U0006,2026-06-29,4,Evening,Night,2.38,11.95,10.53,17.83,Recovery Break
U0006,2026-06-29,5,Evening,Morning,2.17,10.21,8.73,16.71,Recovery Break
U0006,2026-06-29,6,Evening,Morning,3.09,17.88,16.63,21.61,Recovery Break
U0006,2026-06-29,7,Evening,Morning,3.55,21.74,20.59,24.07,Planning
U0006,2026-06-29,8,Evening,Morning,4.01,25.6,24.55,26.52,Planning
U0006,2026-06-29,9,Evening,Morning,4.47,29.46,28.52,28.98,Planning
U0006,2026-06-29,10,Evening,Morning,4.93,33.32,32.48,31.44,Planning
U0006,2026-06-29,11,Evening,Midday,5.39,37.18,36.44,33.89,Recovery Break
U0006,2026-06-29,12,Evening,Midday,5.85,41.05,40.41,36.35,Admin Tasks
U0006,2026-06-29,13,Evening,Midday,5.47,37.85,37.13,34.32,Admin Tasks
U0006,2026-06-29,14,Evening,Midday,5.86,41.09,40.47,36.39,Admin Tasks
U0006,2026-06-29,15,Evening,Afternoon,6.24,44.33,43.77,38.44,Admin Tasks
U0006,2026-06-29,16,Evening,Afternoon,7.69,56.49,56.26,46.18,Admin Tasks
U0006,2026-06-29,17,Evening,Afternoon,8.16,60.35,60.27,48.67,Admin Tasks
U0006,2026-06-29,18,Evening,Afternoon,8.62,64.21,64.23,51.12,Admin Tasks
U0006,2026-06-29,19,Evening,Evening,8.16,60.35,60.27,48.67,Admin Tasks
U0006,2026-06-29,20,Evening,Evening,7.69,56.49,56.26,46.18,Admin Tasks
U0006,2026-06-29,21,Evening,Evening,5.38,37.07,36.34,33.83,Recovery Break
U0006,2026-06-29,22,Evening,Evening,5.06,34.37,33.58,32.12,Recovery Break
U0006,2026-06-29,23,Evening,Evening,4.73,31.67,30.77,30.38,Recovery Break
U0007,2026-06-29,0,Intermediate,Night,1.14,0.29,0.0,6.93,Recovery Break
U0007,2026-06-29,1,Intermediate,Night,1.29,1.29,0.0,6.93,Recovery Break
U0007,2026-06-29,2,Intermediate,Night,1.45,2.29,0.25,7.09,Recovery Break
U0007,2026-06-29,3,Intermediate,Night,1.6,3.29,1.4,7.8,Recovery Break
U0007,2026-06-29,4,Intermediate,Night,1.76,4.29,2.59,8.54,Recovery Break
U0007,2026-06-29,5,Intermediate,Morning,1.91,5.29,3.74,9.25,Recovery Break
U0007,2026-06-29,6,Intermediate,Morning,4.03,19.02,19.77,19.19,Recovery Break
U0007,2026-06-29,7,Intermediate,Morning,4.37,21.24,22.36,20.8,Planning
U0007,2026-06-29,8,Intermediate,Morning,4.71,23.46,24.94,22.4,Planning
U0007,2026-06-29,9,Intermediate,Morning,5.05,25.68,27.52,24.0,Planning
U0007,2026-06-29,10,Intermediate,Morning,5.4,27.9,30.14,25.62,Planning
U0007,2026-06-29,11,Intermediate,Midday,5.74,30.12,32.72,27.22,Recovery Break
U0007,2026-06-29,12,Intermediate,Midday,6.08,32.34,35.3,28.82,Recovery Break
U0007,2026-06-29,13,Intermediate,Midday,4.89,24.64,26.31,23.25,Recovery Break
U0007,2026-06-29,14,Intermediate,Midday,4.61,22.77,24.16,21.91,Recovery Break
U0007,2026-06-29,15,Intermediate,Afternoon,4.32,20.91,21.97,20.55,Recovery Break
U0007,2026-06-29,16,Intermediate,Afternoon,4.71,23.46,24.94,22.4,Planning
U0007,2026-06-29,17,Intermediate,Afternoon,4.37,21.24,22.36,20.8,Planning
U0007,2026-06-29,18,Intermediate,Afternoon,4.03,19.02,19.77,19.19,Planning
U0007,2026-06-29,19,Intermediate,Evening,3.69,16.8,17.19,17.59,Recovery Break
U0007,2026-06-29,20,Intermediate,Evening,3.34,14.58,14.57,15.97,Recovery Break
U0007,2026-06-29,21,Intermediate,Evening,2.24,7.41,6.23,10.8,Recovery Break
U0007,2026-06-29,22,Intermediate,Evening,2.0,5.86,4.42,9.67,Recovery Break
U0007,2026-06-29,23,Intermediate,Evening,1.76,4.3,2.6,8.55,Recovery Break
U0008,2026-06-29,0,Intermediate,Night,0.78,0.0,0.0,4.47,Recovery Break
U0008,2026-06-29,1,Intermediate,Night,0.92,0.0,0.0,4.47,Recovery Break
U0008,2026-06-29,2,Intermediate,Night,1.06,0.0,0.0,4.47,Recovery Break
U0008,2026-06-29,3,Intermediate,Night,1.2,0.0,0.0,4.47,Recovery Break
U0008,2026-06-29,4,Intermediate,Night,1.35,0.0,0.0,4.47,Recovery Break
U0008,2026-06-29,5,Intermediate,Morning,1.49,0.0,0.0,4.47,Recovery Break
U0008,2026-06-29,6,Intermediate,Morning,3.44,5.53,8.19,9.54,Recovery Break
U0008,2026-06-29,7,Intermediate,Morning,3.76,6.86,10.2,10.79,Planning
U0008,2026-06-29,8,Intermediate,Morning,4.07,8.18,12.16,12.01,Planning
U0008,2026-06-29,9,Intermediate,Morning,4.39,9.51,14.18,13.26,Planning
U0008,2026-06-29,10,Intermediate,Morning,4.7,10.84,16.15,14.48,Planning
U0008,2026-06-29,11,Intermediate,Midday,5.02,12.16,18.15,15.72,Recovery Break
U0008,2026-06-29,12,Intermediate,Midday,5.34,13.49,20.16,16.97,Recovery Break
U0008,2026-06-29,13,Intermediate,Midday,4.24,8.89,13.23,12.67,Recovery Break
U0008,2026-06-29,14,Intermediate,Midday,3.98,7.77,11.58,11.65,Recovery Break
U0008,2026-06-29,15,Intermediate,Afternoon,3.71,6.66,9.89,10.6,Recovery Break
U0008,2026-06-29,16,Intermediate,Afternoon,4.07,8.18,12.16,12.01,Planning
U0008,2026-06-29,17,Intermediate,Afternoon,3.76,6.86,10.2,10.79,Planning
U0008,2026-06-29,18,Intermediate,Afternoon,3.44,5.53,8.19,9.54,Planning
U0008,2026-06-29,19,Intermediate,Evening,3.13,4.2,6.22,8.32,Recovery Break
U0008,2026-06-29,20,Intermediate,Evening,2.81,2.88,4.21,7.08,Recovery Break
U0008,2026-06-29,21,Intermediate,Evening,1.79,0.0,0.0,4.47,Recovery Break
U0008,2026-06-29,22,Intermediate,Evening,1.57,0.0,0.0,4.47,Recovery Break
U0008,2026-06-29,23,Intermediate,Evening,1.35,0.0,0.0,4.47,Recovery Break
U0009,2026-06-29,0,Morning,Night,0.36,0.0,0.0,0.73,Recovery Break
U0009,2026-06-29,1,Morning,Night,0.46,0.0,0.0,0.73,Recovery Break
U0009,2026-06-29,2,Morning,Night,0.56,0.0,0.0,0.73,Recovery Break
U0009,2026-06-29,3,Morning,Night,0.66,0.0,0.0,0.73,Recovery Break
U0009,2026-06-29,4,Morning,Night,0.76,0.0,0.0,0.73,Recovery Break
U0009,2026-06-29,5,Morning,Morning,0.86,0.0,0.0,0.73,Recovery Break
U0009,2026-06-29,6,Morning,Morning,2.59,0.0,0.21,0.86,Recovery Break
U0009,2026-06-29,7,Morning,Morning,2.81,0.0,1.09,1.41,Planning
U0009,2026-06-29,8,Morning,Morning,3.03,0.0,1.97,1.95,Planning
U0009,2026-06-29,9,Morning,Morning,3.25,0.1,2.9,2.53,Planning
U0009,2026-06-29,10,Morning,Morning,3.03,0.0,1.97,1.95,Planning
U0009,2026-06-29,11,Morning,Midday,2.81,0.0,1.09,1.41,Recovery Break
U0009,2026-06-29,12,Morning,Midday,2.59,0.0,0.21,0.86,Recovery Break
U0009,2026-06-29,13,Morning,Midday,1.93,0.0,0.0,0.73,Recovery Break
U0009,2026-06-29,14,Morning,Midday,1.75,0.0,0.0,0.73,Recovery Break
U0009,2026-06-29,15,Morning,Afternoon,1.56,0.0,0.0,0.73,Recovery Break
U0009,2026-06-29,16,Morning,Afternoon,1.71,0.0,0.0,0.73,Planning
U0009,2026-06-29,17,Morning,Afternoon,1.49,0.0,0.0,0.73,Planning
U0009,2026-06-29,18,Morning,Afternoon,1.27,0.0,0.0,0.73,Planning
U0009,2026-06-29,19,Morning,Evening,1.04,0.0,0.0,0.73,Recovery Break
U0009,2026-06-29,20,Morning,Evening,0.82,0.0,0.0,0.73,Recovery Break
U0009,2026-06-29,21,Morning,Evening,0.31,0.0,0.0,0.73,Recovery Break
U0009,2026-06-29,22,Morning,Evening,0.46,0.0,0.0,0.73,Recovery Break
U0009,2026-06-29,23,Morning,Evening,0.62,0.0,0.0,0.73,Recovery Break
U0010,2026-06-29,0,Intermediate,Night,1.67,4.92,3.03,11.76,Recovery Break
U0010,2026-06-29,1,Intermediate,Night,1.86,6.34,4.57,12.72,Recovery Break
U0010,2026-06-29,2,Intermediate,Night,2.04,7.76,6.07,13.65,Recovery Break
U0010,2026-06-29,3,Intermediate,Night,2.23,9.18,7.62,14.61,Recovery Break
U0010,2026-06-29,4,Intermediate,Night,2.42,10.6,9.16,15.56,Recovery Break
U0010,2026-06-29,5,Intermediate,Morning,2.61,12.02,10.7,16.52,Recovery Break
U0010,2026-06-29,6,Intermediate,Morning,5.21,31.55,31.84,29.62,Recovery Break
U0010,2026-06-29,7,Intermediate,Morning,5.63,34.7,35.25,31.74,Planning
U0010,2026-06-29,8,Intermediate,Morning,6.05,37.86,38.67,33.86,Planning
U0010,2026-06-29,9,Intermediate,Morning,6.47,41.02,42.09,35.98,Admin Tasks
U0010,2026-06-29,10,Intermediate,Morning,6.89,44.17,45.5,38.09,Admin Tasks
U0010,2026-06-29,11,Intermediate,Midday,7.31,47.33,48.92,40.21,Admin Tasks
U0010,2026-06-29,12,Intermediate,Midday,7.73,50.48,52.33,42.33,Admin Tasks
U0010,2026-06-29,13,Intermediate,Midday,6.27,39.54,40.47,34.97,Admin Tasks
U0010,2026-06-29,14,Intermediate,Midday,5.92,36.89,37.62,33.21,Recovery Break
U0010,2026-06-29,15,Intermediate,Afternoon,5.57,34.23,34.75,31.43,Recovery Break
U0010,2026-06-29,16,Intermediate,Afternoon,6.05,37.86,38.67,33.86,Planning
U0010,2026-06-29,17,Intermediate,Afternoon,5.63,34.7,35.25,31.74,Planning
U0010,2026-06-29,18,Intermediate,Afternoon,5.21,31.55,31.84,29.62,Planning
U0010,2026-06-29,19,Intermediate,Evening,4.79,28.39,28.42,27.5,Recovery Break
U0010,2026-06-29,20,Intermediate,Evening,4.37,25.23,25.0,25.38,Recovery Break
U0010,2026-06-29,21,Intermediate,Evening,3.01,15.05,13.96,18.54,Recovery Break
U0010,2026-06-29,22,Intermediate,Evening,2.72,12.84,11.59,17.07,Recovery Break
U0010,2026-06-29,23,Intermediate,Evening,2.43,10.63,9.21,15.59,Recovery Break
U0011,2026-06-29,0,Intermediate,Night,0.91,0.0,0.0,5.98,Recovery Break
U0011,2026-06-29,1,Intermediate,Night,1.05,0.0,0.0,5.98,Recovery Break
U0011,2026-06-29,2,Intermediate,Night,1.19,0.0,0.0,5.98,Recovery Break
U0011,2026-06-29,3,Intermediate,Night,1.33,0.52,0.0,5.98,Recovery Break
U0011,2026-06-29,4,Intermediate,Night,1.47,1.33,0.0,5.98,Recovery Break
U0011,2026-06-29,5,Intermediate,Morning,1.61,2.15,0.32,6.18,Recovery Break
U0011,2026-06-29,6,Intermediate,Morning,3.55,13.33,14.22,14.8,Recovery Break
U0011,2026-06-29,7,Intermediate,Morning,3.86,15.13,16.45,16.18,Planning
U0011,2026-06-29,8,Intermediate,Morning,4.17,16.94,18.69,17.57,Planning
U0011,2026-06-29,9,Intermediate,Morning,4.49,18.75,20.97,18.98,Planning
U0011,2026-06-29,10,Intermediate,Morning,4.8,20.56,23.2,20.37,Planning
U0011,2026-06-29,11,Intermediate,Midday,5.11,22.36,25.43,21.75,Recovery Break
U0011,2026-06-29,12,Intermediate,Midday,5.43,24.17,27.71,23.16,Recovery Break
U0011,2026-06-29,13,Intermediate,Midday,4.34,17.9,19.9,18.32,Recovery Break
U0011,2026-06-29,14,Intermediate,Midday,4.08,16.38,18.02,17.16,Recovery Break
U0011,2026-06-29,15,Intermediate,Afternoon,3.82,14.87,16.15,16.0,Recovery Break
U0011,2026-06-29,16,Intermediate,Afternoon,4.17,16.94,18.69,17.57,Planning
U0011,2026-06-29,17,Intermediate,Afternoon,3.86,15.13,16.45,16.18,Planning
U0011,2026-06-29,18,Intermediate,Afternoon,3.55,13.33,14.22,14.8,Planning
U0011,2026-06-29,19,Intermediate,Evening,3.24,11.52,11.99,13.42,Recovery Break
U0011,2026-06-29,20,Intermediate,Evening,2.92,9.71,9.71,12.0,Recovery Break
U0011,2026-06-29,21,Intermediate,Evening,1.91,3.88,2.47,7.51,Recovery Break
U0011,2026-06-29,22,Intermediate,Evening,1.7,2.61,0.93,6.56,Recovery Break
U0011,2026-06-29,23,Intermediate,Evening,1.48,1.35,0.0,5.98,Recovery Break
U0012,2026-06-29,0,Evening,Night,2.9,15.66,14.3,18.84,Recovery Break
U0012,2026-06-29,1,Evening,Night,2.7,14.08,12.63,17.81,Recovery Break
U0012,2026-06-29,2,Evening,Night,2.51,12.51,11.0,16.8,Recovery Break
U0012,2026-06-29,3,Evening,Night,2.31,10.94,9.34,15.77,Recovery Break
U0012,2026-06-29,4,Evening,Night,2.12,9.36,7.71,14.76,Recovery Break
U0012,2026-06-29,5,Evening,Morning,1.92,7.79,6.05,13.73,Recovery Break
U0012,2026-06-29,6,Evening,Morning,2.78,14.73,13.3,18.22,Recovery Break
U0012,2026-06-29,7,Evening,Morning,3.22,18.23,16.99,20.51,Planning
U0012,2026-06-29,8,Evening,Morning,3.65,21.72,20.63,22.77,Planning
U0012,2026-06-29,9,Evening,Morning,4.09,25.22,24.31,25.05,Planning
U0012,2026-06-29,10,Evening,Morning,4.52,28.72,27.96,27.31,Planning
U0012,2026-06-29,11,Evening,Midday,4.95,32.21,31.6,29.57,Recovery Break
U0012,2026-06-29,12,Evening,Midday,5.39,35.71,35.28,31.85,Recovery Break
U0012,2026-06-29,13,Evening,Midday,5.03,32.81,32.25,29.97,Recovery Break
U0012,2026-06-29,14,Evening,Midday,5.39,35.75,35.31,31.87,Recovery Break
U0012,2026-06-29,15,Evening,Afternoon,5.76,38.69,38.4,33.79,Recovery Break
U0012,2026-06-29,16,Evening,Afternoon,7.13,49.69,49.93,40.94,Admin Tasks
U0012,2026-06-29,17,Evening,Afternoon,7.56,53.19,53.58,43.2,Admin Tasks
U0012,2026-06-29,18,Evening,Afternoon,7.99,56.69,57.22,45.46,Admin Tasks
U0012,2026-06-29,19,Evening,Evening,7.56,53.19,53.58,43.2,Admin Tasks
U0012,2026-06-29,20,Evening,Evening,7.13,49.69,49.93,40.94,Admin Tasks
U0012,2026-06-29,21,Evening,Evening,4.94,32.11,31.5,29.51,Recovery Break
U0012,2026-06-29,22,Evening,Evening,4.64,29.67,28.96,27.93,Recovery Break
U0012,2026-06-29,23,Evening,Evening,4.33,27.22,26.37,26.33,Recovery Break
U0013,2026-06-29,0,Intermediate,Night,2.78,18.6,18.51,28.05,Recovery Break
U0013,2026-06-29,1,Intermediate,Night,3.03,20.95,20.8,29.47,Recovery Break
U0013,2026-06-29,2,Intermediate,Night,3.28,23.31,23.1,30.9,Recovery Break
U0013,2026-06-29,3,Intermediate,Night,3.53,25.66,25.39,32.31,Recovery Break
U0013,2026-06-29,4,Intermediate,Night,3.78,28.02,27.69,33.74,Recovery Break
U0013,2026-06-29,5,Intermediate,Morning,4.03,30.38,29.98,35.16,Admin Tasks
U0013,2026-06-29,6,Intermediate,Morning,7.46,62.76,61.51,54.71,Admin Tasks
U0013,2026-06-29,7,Intermediate,Morning,8.02,67.99,66.63,57.88,Creative Work
U0013,2026-06-29,8,Intermediate,Morning,8.57,73.23,71.71,61.03,Creative Work
U0013,2026-06-29,9,Intermediate,Morning,9.13,78.46,76.83,64.21,Creative Work
U0013,2026-06-29,10,Intermediate,Morning,9.68,83.7,81.91,67.36,Creative Work
U0013,2026-06-29,11,Intermediate,Midday,10.0,88.93,86.07,69.94,Deep Work
U0013,2026-06-29,12,Intermediate,Midday,10.0,94.17,88.95,71.72,Deep Work
U0013,2026-06-29,13,Intermediate,Midday,8.87,76.01,74.44,62.73,Creative Work
U0013,2026-06-29,14,Intermediate,Midday,8.4,71.61,70.14,60.06,Creative Work
U0013,2026-06-29,15,Intermediate,Afternoon,7.93,67.21,65.84,57.39,Creative Work
U0013,2026-06-29,16,Intermediate,Afternoon,8.57,73.23,71.71,61.03,Creative Work
U0013,2026-06-29,17,Intermediate,Afternoon,8.02,67.99,66.63,57.88,Creative Work
U0013,2026-06-29,18,Intermediate,Afternoon,7.46,62.76,61.51,54.71,Admin Tasks
U0013,2026-06-29,19,Intermediate,Evening,6.91,57.52,56.43,51.56,Admin Tasks
U0013,2026-06-29,20,Intermediate,Evening,6.35,52.29,51.31,48.39,Admin Tasks
